target_id,cv_auc_mean,test_roc_auc,pr_auc,roc_auc_ci,pr_auc_ci
CHEMBL2083,0.9159930978112796,0.9559082892416226,,"(nan, nan)","(nan, nan)"
CHEMBL1947,0.899139300418193,0.9304347826086956,,"(nan, nan)","(nan, nan)"
CHEMBL3247,0.8504512392241379,0.8824300699300699,,"(nan, nan)","(nan, nan)"
CHEMBL5080,0.8492733699921445,0.8719653179190752,,"(nan, nan)","(nan, nan)"
CHEMBL5853,0.7759841160220995,0.8428805237315875,,"(nan, nan)","(nan, nan)"
CHEMBL239,0.8117313720761998,0.8206335616438356,,"(nan, nan)","(nan, nan)"
CHEMBL3351,0.8868151019900055,0.7994987468671679,,"(nan, nan)","(nan, nan)"
CHEMBL235,0.8316789077448842,0.7742861348248454,,"(nan, nan)","(nan, nan)"
CHEMBL2047,0.771232057416268,0.7645687645687647,,"(nan, nan)","(nan, nan)"
CHEMBL4158,0.7495128896882494,0.7582442067736186,,"(nan, nan)","(nan, nan)"
